ISO,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,2,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,3,CTS
AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,11,CTS
BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,14,CTS
BGR,Bulgaria,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,8,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,36,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,1,CTS
CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,3,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,19,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,484,CTS
CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,8,CTS
DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,114,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,0,CTS
DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,4,CTS
ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,40,CTS
FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,9,CTS
FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,131,CTS
GRC,Greece,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,4,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,3,CTS
HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,3,CTS
HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,11,CTS
ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,0,CTS
ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,36,CTS
JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,10,MNS/CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,3,CTS
LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,72,CTS
LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,13,CTS
LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,21,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,1093,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,22,CTS
NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,2,CTS
OMN,Oman,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,2,CTS
RUS,Russian Federation,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,1437,CTS
SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,12,CTS
SVK,Slovakia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,6,CTS
SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,1,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,4,NGO
TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,325,CTS
UZB,Uzbekistan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,46,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,2,CTS
AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,39,CTS
AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,2,CTS
BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,33,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,5,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS
CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,28,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,18,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,126,CTS
CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,8,CTS
DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,225,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS
DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,10,CTS
ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,89,CTS
FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,7,CTS
FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,158,CTS
GRC,Greece,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,38,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,2,CTS
ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS
ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,163,CTS
JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,19,MNS/CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,2,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS
LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,3,CTS
LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,5,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,25,CTS
MLT,Malta,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,6,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,16,CTS
OMN,Oman,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,14,CTS
RUS,Russian Federation,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,435,CTS
SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,3,CTS
SVK,Slovakia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS
TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,363,CTS
UZB,Uzbekistan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,7,CTS
BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,3,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,2,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,3,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,9,CTS
CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,19,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,2,CTS
ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,14,CTS
FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,14,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,12,CTS
JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,5,MNS/CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
OMN,Oman,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
RUS,Russian Federation,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,23,CTS
SVK,Slovakia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS
TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,31,CTS
UZB,Uzbekistan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,1,CTS
AFG,Afghanistan,Asia,Southern Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,2474,NSO
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,66,MD/CTS/GSH 2023 Revision/NSO
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,2384,MoS/CTS
ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,50,UNSDC/TransMonEE/CTS/Covid-19/SDG
ASM,American Samoa,Oceania,Polynesia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,13,NSO/SAS/MoJ
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,12,MD/PAHO/OAS/CTS
AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,221,MD/Eurostat/GSH 2019 Revision/CTS
AUT,Austria,Europe,Western Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,86,UNSDC/Eurostat/CTS/GSH 2023 Revision
AZE,Azerbaijan,Asia,Western Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,197,UNSDC/CTS/NSO
BGD,Bangladesh,Asia,Southern Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,3830,NP
BGR,Bulgaria,Europe,Eastern Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,92,UNSDC/Eurostat/CTS/External
BHR,Bahrain,Asia,Western Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,5,UNSDC/CTS/NP/SDG/MoI
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,91,UNSDC/OAS/CTS/GSH 2023 Revision/NP
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,39,UNECE/Interpol/CTS/SDG
BLR,Belarus,Europe,Eastern Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,226,UNSDC/NSO/CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,143,OAS/CTS/MoI
BMU,Bermuda,Americas,Northern America,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,5,UNSDC/NP/CTS/SDG/External/GSH 2023 Revision
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,574,GSH 2023 Revision/CTS/SDG
BRA,Brazil,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,55980,MD Adjusted/DATASUS
BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,28,MD/UNSDC/OAS/CTS
BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,9,NSO/CTS/SDG
CAN,Canada,Americas,Northern America,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,662,NSO/OAS/CTS/SDG/GSH 2023 Revision
CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,50,UNSDC/Eurostat/CTS/SDG
CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,825,CTS/OAS/NSO/SDG
CHN,China,Asia,Eastern Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,7525,UNSDC/NSO
COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,11678,UNSDC/OAS/CTS/GSH 2023 Revision
