ISO,Region,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source,Continent,Population,Estimate of firearms in civilian possession,Registered firearms,Unregistered firearms,Total law enforcement firearms,Total military firearms,Country,Subregion
ALB,Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,"Rate per 100,000 population",2.28039848927055,MD/CTS/GSH 2023 Revision/NSO,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Male,Total,2018,"Rate per 100,000 population",3.56003297567799,MD/CTS/GSH 2023 Revision/NSO,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,Total,2018,"Rate per 100,000 population",1.02623045030992,MD/CTS/GSH 2023 Revision/SDG/NSO,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2018,"Rate per 100,000 population",0.794684322018526,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2018,"Rate per 100,000 population",0.241860445831725,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Male,Total,2018,"Rate per 100,000 population",0.209413704451647,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Female,Total,2018,"Rate per 100,000 population",0.273661453415979,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2018,"Rate per 100,000 population",0.552823876186801,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2018,"Rate per 100,000 population",0.034551492261675,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",1.5202656595137,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2018,"Rate per 100,000 population",0.656478352971826,GSH 2023 Revision/CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Male,Total,2018,"Rate per 100,000 population",0.62824111335494,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Female,Total,2018,"Rate per 100,000 population",0.752568996893943,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Total,Total,2018,"Rate per 100,000 population",0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Male,Total,2018,"Rate per 100,000 population",0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Female,Total,2018,"Rate per 100,000 population",0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Total,Total,2018,"Rate per 100,000 population",1.6584716285604,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Male,Total,2018,"Rate per 100,000 population",3.07140099862415,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Female,Total,2018,"Rate per 100,000 population",0.273661453415979,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,"Rate per 100,000 population",1.58936864403705,CTS/GSH 2023 Revision,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,"Rate per 100,000 population",0.656478352971826,CTS/GSH 2023 Revision,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,0-9,2018,"Rate per 100,000 population",0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Male,18-19,2018,"Rate per 100,000 population",102.968937703793,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,18-19,2018,"Rate per 100,000 population",29.1097999261059,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,"Rate per 100,000 population",0.34551492261675,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2018,"Rate per 100,000 population",0.241860445831725,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2018,"Rate per 100,000 population",0.380066414878425,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,25-29,2018,"Rate per 100,000 population",15.1143319664144,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,30-44,2018,"Rate per 100,000 population",9.96987946032275,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,45-59,2018,"Rate per 100,000 population",3.3725612166702,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,60 and older,2018,"Rate per 100,000 population",1.10840168477056,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons convicted for intentional homicide,Total,Total,Total,Total,2018,"Rate per 100,000 population",3.93887011783095,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Death due to intentional homicide in prison,Total,Total,Total,Total,2018,"Rate per 100,000 population",0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ARM,Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,40,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,2,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,50,UNSDC/TransMonEE/CTS/Covid-19/SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,Total,Total,Male,Total,2018,Counts,39,UNECE/WHO/CTS/Covid-19/SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,Total,Total,Female,Total,2018,Counts,11,UNECE/WHO/CTS/Covid-19/SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,6,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,Counts,6,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2018,Counts,15,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,Counts,15,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,39,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,11,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,Counts,19,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2018,Counts,4,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,15 -17,2018,Counts,1,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,15 -17,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,20-24,2018,Counts,6,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,20-24,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,25-29,2018,Counts,9,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,25-29,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,30-44,2018,Counts,18,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,60 and older,2018,Counts,7,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,60 and older,2018,Counts,0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Death due to intentional homicide in prison,Total,Total,Total,Total,2018,Counts,0,SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,Total,Total,Total,Total,2018,"Rate per 100,000 population",1.71823401969337,UNSDC/TransMonEE/CTS/Covid-19/SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,Total,Total,Male,Total,2018,"Rate per 100,000 population",2.90651853855776,UNECE/WHO/CTS/Covid-19/SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,Total,Total,Female,Total,2018,"Rate per 100,000 population",0.701462166000384,UNECE/WHO/CTS/Covid-19/SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,"Rate per 100,000 population",0.206188082363204,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,"Rate per 100,000 population",0.206188082363204,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Another weapon,Total,Total,2018,"Rate per 100,000 population",0.51547020590801,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,"Rate per 100,000 population",0.51547020590801,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,"Rate per 100,000 population",0.65292892748348,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2018,"Rate per 100,000 population",0.137458721575469,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2018,"Rate per 100,000 population",0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,20-24,2018,"Rate per 100,000 population",6.28874785789526,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,20-24,2018,"Rate per 100,000 population",0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,25-29,2018,"Rate per 100,000 population",7.42991117128422,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,25-29,2018,"Rate per 100,000 population",0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,30-44,2018,"Rate per 100,000 population",6.13858887483076,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Male,60 and older,2018,"Rate per 100,000 population",3.51592714998945,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Persons arrested/suspected for intentional homicide,Total,Total,Female,60 and older,2018,"Rate per 100,000 population",0,CTS,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ARM,Asia,Death due to intentional homicide in prison,Total,Total,Total,Total,2018,"Rate per 100,000 population",0,SDG,Asia,3032000.0,186000,45822.0,140178.0,18000,509240.0,Armenia,Western Asia
ATG,Americas,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,7,CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,0,CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,2,CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,12,MD/PAHO/OAS/CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Victims of intentional homicide,Total,Total,Male,Total,2018,Counts,9,MD/PAHO/OAS/CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Victims of intentional homicide,Total,Total,Female,Total,2018,Counts,3,MD/PAHO/OAS/CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
ATG,Americas,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2018,Counts,4,CTS,Americas,94000.0,5000,1449.0,3551.0,800,438.0,Antigua and Barbuda,Latin America and the Caribbean
